country,measure,description,date_start,date_end
Bulgaria,MasksMandatoryAllSpacesPartial,Protective mask use in all public spaces on mandatory basis (enforced by law) - partially relaxed measure,2020-05-01,2022-03-31
Bulgaria,MasksMandatoryClosedSpacesPartial,Protective mask use in closed public spaces/transport on mandatory basis (enforced by law) - partially relaxed measure,2022-07-18,
Bulgaria,MasksVoluntaryAllSpaces,Protective mask use in all public spaces on voluntary basis (general recommendation not enforced),2020-03-31,2020-04-11
Bulgaria,MasksVoluntaryAllSpacesPartial,Protective mask use in all public spaces on voluntary basis (general recommendation not enforced) - partially relaxed measure,2022-04-01,2022-07-17
Bulgaria,MassGather50,,2020-03-08,2020-05-14
Bulgaria,MassGather50Partial,,2020-05-15,2020-06-30
Bulgaria,MassGather50Partial,,2021-01-04,2021-03-31
Bulgaria,MassGather50Partial,,2021-11-02,2022-03-17
Bulgaria,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-08,2020-03-12
Bulgaria,MassGatherAllPartial,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included) - partially relaxed measure,2020-03-13,2020-06-30
Bulgaria,MassGatherAllPartial,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included) - partially relaxed measure,2021-01-04,2021-03-31
Bulgaria,MassGatherAllPartial,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included) - partially relaxed measure,2021-11-02,2022-03-17
Bulgaria,NonEssentialShops,Closures of non-essential shops,2020-03-13,2020-05-17
Bulgaria,NonEssentialShops,Closures of non-essential shops,2020-11-27,2021-01-31
Bulgaria,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2021-03-22,2021-03-31
Bulgaria,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2021-10-21,2022-03-20
Bulgaria,PrivateGatheringRestrictions,Restrictions on private gatherings,2020-03-08,2020-06-30
Bulgaria,PrivateGatheringRestrictions,Restrictions on private gatherings,2020-11-27,2021-05-31
Bulgaria,PrivateGatheringRestrictions,Restrictions on private gatherings,2021-09-07,2022-03-20
Bulgaria,QuarantineForInternationalTravellers,,2020-03-17,2020-07-27
Bulgaria,QuarantineForInternationalTravellers,,2020-08-01,2020-11-30
Bulgaria,QuarantineForInternationalTravellersPartial,,2020-07-28,2020-07-31
Bulgaria,QuarantineForInternationalTravellersPartial,,2020-12-01,2022-04-30
Bulgaria,RestaurantsCafes,Closure of restaurants and cafes/bars,2020-03-13,2020-05-31
Bulgaria,RestaurantsCafes,Closure of restaurants and cafes/bars,2020-11-27,2021-02-28
Bulgaria,RestaurantsCafes,Closure of restaurants and cafes/bars,2021-03-22,2021-03-31
Bulgaria,RestaurantsCafesPartial,Closure of restaurants and cafes/bars - partially relaxed measure,2020-10-29,2020-11-26
Bulgaria,RestaurantsCafesPartial,Closure of restaurants and cafes/bars - partially relaxed measure,2021-03-01,2021-03-21
Bulgaria,RestaurantsCafesPartial,Closure of restaurants and cafes/bars - partially relaxed measure,2021-04-01,2022-03-20
Bulgaria,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-02-24,2020-03-11
Bulgaria,Teleworking,Teleworking recommendation,2020-03-13,2020-03-29
Bulgaria,Teleworking,Teleworking recommendation,2022-07-22,
Bulgaria,TeleworkingPartial,Teleworking recommendation or workplace closures - partially relaxed measure,2020-11-14,2021-04-30
Bulgaria,TeleworkingPartial,Teleworking recommendation or workplace closures - partially relaxed measure,2021-08-20,2022-02-23
Croatia,AdaptationOfWorkplacePartial,Adaptation of workplaces (e.g. to reduce risk of transmission) - partially relaxed measure,2020-11-28,2022-04-08
Croatia,BanOnAllEvents,Interventions are in place to limit all indoor/outdoor mass/public gatherings,2020-03-19,2020-05-04
Croatia,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-16,2020-05-10
Croatia,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-06-17
Croatia,ClosPrim,Closure of educational institutions: primary schools.,2020-03-16,2020-05-10
Croatia,ClosPrimPartial,Closure of educational institutions: primary schools - partially relaxed measure,2020-05-11,2020-06-17
Croatia,ClosPubAnyPartial,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers etc) - partially relaxed measure",2020-03-19,2022-04-08
Croatia,ClosSec,Closure of educational institutions: secondary schools.,2020-03-16,2020-06-17
Croatia,ClosureOfPublicTransport,Closure of public transport,2020-03-22,2020-04-27
Croatia,ClosureOfPublicTransportPartial,Closure of public transport - partially relaxed measure,2020-11-28,2022-04-08
Croatia,EntertainmentVenuesPartial,Closure of entertainment venues - partially relaxed measure,2020-03-19,2020-05-28
Croatia,EntertainmentVenuesPartial,Closure of entertainment venues - partially relaxed measure,2020-11-28,2021-12-21
Croatia,GymsSportsCentres,Closure of gyms/sports centres,2020-03-19,2020-05-12
Croatia,GymsSportsCentres,Closure of gyms/sports centres,2020-11-28,2021-02-14
Croatia,GymsSportsCentresPartial,Closure of gyms/sports centres - partially relaxed measure,2021-02-15,2022-04-08
Croatia,IndoorOver100,Interventions are in place to limit indoor mass/public gatherings of over 100 participants,2021-05-28,2021-11-05
Croatia,IndoorOver100,Interventions are in place to limit indoor mass/public gatherings of over 100 participants,2022-03-18,2022-04-08
Croatia,IndoorOver50,Interventions are in place to limit indoor mass/public gatherings of over 50 participants,2020-05-05,2021-05-27
Croatia,IndoorOver50,Interventions are in place to limit indoor mass/public gatherings of over 50 participants,2021-11-06,2022-03-17
Croatia,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-10-25,2021-07-02
Croatia,MasksMandatoryAllSpacesPartial,Protective mask use in all public spaces on mandatory basis (enforced by law) - partially relaxed measure,2021-07-03,2022-04-08
Croatia,MasksMandatoryClosedSpaces,Protective mask use in closed public spaces/transport on mandatory basis (enforced by law),2020-04-24,2020-10-24
Croatia,MasksVoluntaryAllSpacesPartial,Protective mask use in all public spaces on voluntary basis (general recommendation not enforced) - partially relaxed measure,2022-04-09,
Croatia,MassGather50,,2020-03-19,2021-05-27
Croatia,MassGather50Partial,,2021-11-06,2022-03-17
Croatia,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-19,2021-05-27
Croatia,MassGatherAllPartial,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included) - partially relaxed measure,2021-05-28,2022-04-08
Croatia,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2020-03-19,2020-05-25
Croatia,OutdoorOver100,Interventions are in place to limit outdoor mass/public gatherings of over 100 participants,2021-05-28,2022-01-07
Croatia,OutdoorOver100,Interventions are in place to limit outdoor mass/public gatherings of over 100 participants,2022-03-01,2022-03-17
Croatia,OutdoorOver50,Interventions are in place to limit outdoor mass/public gatherings of over 50 participants,2020-05-05,2020-10-26
Croatia,OutdoorOver50,Interventions are in place to limit outdoor mass/public gatherings of over 50 participants,2020-11-28,2021-05-27
Croatia,OutdoorOver50,Interventions are in place to limit outdoor mass/public gatherings of over 50 participants,2022-01-08,2022-02-28
Croatia,OutdoorOver500,Interventions are in place to limit outdoor mass/public gatherings of over 500 participants,2022-03-18,2022-04-08
Croatia,PrivateGatheringRestrictions,Restrictions on private gatherings,2020-03-20,2022-04-08
Croatia,QuarantineForInternationalTravellersPartial,,2020-05-11,2022-04-30
Croatia,RestaurantsCafes,Closure of restaurants and cafes/bars,2020-03-19,2020-05-11
Croatia,RestaurantsCafes,Closure of restaurants and cafes/bars,2020-11-28,2021-02-28
Croatia,RestaurantsCafesPartial,Closure of restaurants and cafes/bars - partially relaxed measure,2020-05-12,2020-11-27
