freq,unit,age,sex,isced11,geo,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
A,NR,TOTAL,F,ED65,FR,187701 ,188226 ,194805 ,198177 ,208573 ,210809 ,249567 
A,NR,TOTAL,F,ED65,HR,20741 ,20248 ,20084 ,19860 ,19613 ,19139 ,18430 
A,NR,TOTAL,F,ED65,HU,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED65,IE,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED65,IS,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED65,IT,: d,: d,: d,: d,: z,: z,: z
A,NR,TOTAL,F,ED65,LI,: z,: z,: z,0 ,0 ,0 ,0 
A,NR,TOTAL,F,ED65,LT,21649 ,20509 ,19476 ,19053 ,18824 ,18799 ,18663 
A,NR,TOTAL,F,ED65,LU,669 ,696 ,643 ,661 ,695 ,724 ,799 
A,NR,TOTAL,F,ED65,LV,18862 ,18028 ,16711 ,15177 ,14197 ,13255 ,12959 
A,NR,TOTAL,F,ED65,ME,1703 ,1757 ,1631 ,1395 ,1342 ,1353 ,: 
A,NR,TOTAL,F,ED65,MK,4760 ,1228 ,6108 ,7837 ,5461 ,4489 ,4516 
A,NR,TOTAL,F,ED65,MT,: d,: d,: d,: d,: d,2024 ,2016 
A,NR,TOTAL,F,ED65,NL,: d,: d,: d,245990 ,247607 ,261397 ,257819 
A,NR,TOTAL,F,ED65,NO,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED65,PL,: d,: d,: d,: d,132206 e,125898 ,135940 
A,NR,TOTAL,F,ED65,PT,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED65,RO,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED65,RS,23999 ,23110 ,22058 ,20342 ,18567 ,18365 ,18967 
A,NR,TOTAL,F,ED65,SE,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED65,SI,11406 ,11227 ,10922 ,10929 ,11234 ,12521 ,12446 
A,NR,TOTAL,F,ED65,SK,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED65,TR,: d,: d,: d,: d,: d,: z,: z
A,NR,TOTAL,F,ED65,UK,: d,: d,: d,: d,: ,: ,: 
A,NR,TOTAL,F,ED7,AL,: ,: ,: ,: ,: ,27621 ,29159 
A,NR,TOTAL,F,ED7,AT,75091 ,73316 ,72990 ,71644 ,73173 ,77786 ,80490 
