freq,unit,icha11_hc,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
A,MIO_NAC,TOT_HC,ES,94407.53 ,92533.36 ,93830.60 ,98363.32 ,99729.02 ,104002.63 ,108330.28 ,113776.09 ,120093.31 ,126001.25 ,131114.07 ,: 
A,MIO_NAC,TOT_HC,FI,19271.00 ,20034.38 ,20236.91 ,20388.59 b,20398.75 ,20653.82 ,21111.01 ,21998.37 ,22929.00 ,24651.76 p,25925.61 p,: 
A,MIO_NAC,TOT_HC,FR,235980.55 ,241272.98 ,247767.17 ,251497.43 ,256712.36 ,261211.06 ,264934.59 ,270562.47 ,279814.91 ,307567.68 ,313574.39 ,: 
A,MIO_NAC,TOT_HC,HR,: ,2871.94 ,2946.34 ,3059.61 ,3183.21 ,3296.48 ,3505.64 ,3726.49 ,3899.17 ,4715.97 ,4933.44 ,: 
A,MIO_NAC,TOT_HC,HU,2148834.14 ,2195781.54 ,2311636.44 ,2396523.40 ,2530040.38 ,2648638.99 ,2854791.53 ,2994736.51 ,3532803.82 ,4075498.36 ,4420310.02 ,4770758.82 p
A,MIO_NAC,TOT_HC,IE,18611.51 ,18443.41 ,18559.32 ,19291.85 ,20180.53 ,21216.34 ,22460.46 ,23931.35 ,26505.49 ,28631.87 ,30983.40 ,33129.89 p
A,MIO_NAC,TOT_HC,IS,151873.48 ,162074.30 ,172968.44 ,187900.11 ,204875.44 ,219924.86 ,239986.36 ,261453.93 ,282637.75 ,318115.60 ,352546.88 ,384752.68 p
A,MIO_NAC,TOT_HC,IT,142676.00 ,141526.00 ,144317.00 ,146613.00 ,147963.00 ,150697.00 ,153790.00 ,155524.00 b,159892.00 ,170278.00 ,175719.00 ,176153.00 p
A,MIO_NAC,TOT_HC,LI,: ,340.62 ,343.76 ,346.96 ,359.68 ,362.09 ,363.02 ,370.02 ,364.17 ,389.36 ,397.62 ,: 
A,MIO_NAC,TOT_HC,LT,2096.85 ,2146.52 ,2265.58 ,2423.88 ,2581.36 ,2732.83 ,2972.32 ,3419.53 ,3727.72 ,4382.53 ,4881.95 ,5255.05 p
A,MIO_NAC,TOT_HC,LU,2463.12 b,2570.38 ,2708.90 ,2751.04 ,2850.33 ,2987.17 ,3174.33 ,3411.86 ,3719.75 ,4096.10 ,4304.06 ,4586.37 p
A,MIO_NAC,TOT_HC,LV,: ,1230.43 ,1290.77 ,1388.84 ,1556.09 ,1609.73 ,1804.22 ,2029.11 ,2193.54 ,3038.07 ,2925.67 ,: 
A,MIO_NAC,TOT_HC,MD,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,19118.24 ,: 
A,MIO_NAC,TOT_HC,MT,: ,: ,795.04 ,889.47 ,945.12 ,1042.18 ,1109.70 ,1297.84 ,1415.73 p,1588.88 p,1660.94 ,: 
A,MIO_NAC,TOT_HC,NL,68816.00 ,69901.00 ,70964.00 ,71236.00 ,72918.00 ,74614.00 ,77553.00 ,82447.00 ,89399.00 ,96852.00 ,96820.00 ,: 
A,MIO_NAC,TOT_HC,NO,260181.00 ,274246.00 ,293507.00 ,315207.00 ,328134.00 ,339948.00 ,356241.00 ,375451.00 ,395456.00 ,424362.00 ,453400.00 p,: 
A,MIO_NAC,TOT_HC,PL,: ,105635.11 ,107457.87 ,114142.43 ,121106.67 ,130535.81 ,134244.40 ,147838.53 ,151873.40 p,169418.41 p,196205.10 p,238296.25 p
A,MIO_NAC,TOT_HC,PT,16247.14 ,16034.57 ,16168.20 ,16742.90 ,17519.59 ,18234.53 ,19313.26 ,20395.17 ,21150.13 ,24033.06 ,25370.25 ,26559.58 p
A,MIO_NAC,TOT_HC,RO,28012.64 ,32996.79 ,33630.42 ,35220.71 ,38209.12 ,44188.77 ,52920.94 ,60787.51 ,66419.68 ,76931.82 ,80563.54 ,: 
A,MIO_NAC,TOT_HC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,627795.01 p,685448.43 p,: 
A,MIO_NAC,TOT_HC,SE,401826.00 ,416859.00 ,437122.00 ,460309.00 ,479137.00 ,498821.00 ,528268.00 ,546987.00 ,571016.00 ,609107.00 ,628317.00 ,686808.00 p
A,MIO_NAC,TOT_HC,SI,: ,: ,3199.66 ,3309.20 ,3428.78 ,3520.39 ,3797.15 ,4124.92 ,4435.43 ,4956.32 ,5478.52 ,5938.82 p
A,MIO_NAC,TOT_HC,SK,5550.07 ,5583.37 ,5256.33 ,5418.25 ,5666.47 ,5721.14 ,5991.41 ,6534.21 ,6659.30 ,7776.08 ,8476.28 ,: 
A,MIO_NAC,TOT_HC,UK,: ,177600.30 ,185376.98 ,190058.38 ,196940.55 ,202901.09 ,212119.69 ,225194.69 ,: ,: ,: ,: 
A,MIO_PPS,TOT_HC,AT,28897.29 ,29656.93 ,30379.51 ,31292.33 ,32134.75 ,32930.34 ,34026.99 ,35219.52 ,36259.01 ,42427.56 ,42954.63 ,44253.39 p
A,MIO_PPS,TOT_HC,BA,: ,2557.50 ,2629.38 ,2734.53 ,2857.14 ,2829.91 ,2966.75 ,3175.08 ,3298.71 ,3645.36 ,3721.77 ,: 
A,MIO_PPS,TOT_HC,BE,35202.32 ,36362.71 ,37680.32 ,39780.70 ,40216.33 ,41212.12 ,42646.05 ,43966.85 ,44677.58 ,48437.33 ,50681.12 ,: 
A,MIO_PPS,TOT_HC,BG,6856.95 ,6606.36 ,7442.91 ,7552.66 ,8065.49 ,8434.57 ,8657.32 ,8825.55 ,10190.33 ,11743.20 ,11867.68 ,: 
A,MIO_PPS,TOT_HC,CH,33295.08 ,35343.23 ,36790.09 ,38761.70 ,39660.67 ,40091.09 ,40755.78 ,42096.97 ,42873.90 ,46797.17 ,49407.75 ,: 
A,MIO_PPS,TOT_HC,CY,1284.55 ,1275.49 ,1265.06 ,1294.63 ,1379.00 ,1461.90 ,1587.02 ,1744.51 ,2062.30 ,2519.18 ,2605.07 ,: 
A,MIO_PPS,TOT_HC,CZ,17863.51 ,18331.93 ,19745.71 ,20035.46 ,20785.45 ,22029.90 ,23163.28 ,24792.61 ,28518.16 ,31742.87 ,31031.26 ,31581.17 p
A,MIO_PPS,TOT_HC,DE,285138.33 ,292982.01 ,305351.64 ,317029.28 ,330764.97 ,347550.39 ,363481.72 ,378058.18 ,400078.73 ,428016.07 ,445547.96 ,443074.92 p
A,MIO_PPS,TOT_HC,DK,18520.14 ,18642.97 ,18983.53 ,19675.60 ,19873.86 ,20757.24 ,21443.62 ,21888.07 ,23316.24 ,25830.98 ,24522.94 ,24634.42 p
A,MIO_PPS,TOT_HC,EA19,: ,: ,988252.99 ,1017868.26 ,1044660.38 ,1079609.28 ,1113258.50 ,1156719.96 ,1209523.74 p,1312890.13 p,1362517.98 p,: 
A,MIO_PPS,TOT_HC,EA20,: ,: ,993790.58 ,1023623.89 ,1050675.85 ,1085834.77 ,1119722.97 ,1163506.35 ,1216744.94 p,1321334.84 p,1371120.84 p,: 
A,MIO_PPS,TOT_HC,EE,1564.33 ,1651.46 ,1751.68 ,1869.42 ,1952.95 ,2042.34 ,2179.75 ,2308.01 ,2526.86 ,2739.69 ,2716.76 ,3027.43 p
A,MIO_PPS,TOT_HC,EL,17704.27 ,16795.94 ,16027.60 ,16824.88 ,17227.89 ,17046.84 ,17327.34 ,17712.83 ,18467.14 ,19720.17 ,20731.81 ,: 
A,MIO_PPS,TOT_HC,ES,95350.84 ,94560.07 ,97204.88 ,102733.72 ,103636.42 ,108885.04 ,111888.22 ,118026.95 ,121287.50 ,129140.53 ,134379.90 ,: 
A,MIO_PPS,TOT_HC,EU27_2020,: ,: ,1178279.65 ,1215960.13 ,1249704.32 ,1293954.70 ,1337368.46 ,1393016.13 ,1463301.71 p,1591674.36 p,1648486.53 p,: 
A,MIO_PPS,TOT_HC,FI,15314.13 ,15694.78 ,15807.12 ,16022.84 b,15964.46 ,16350.91 ,16658.65 ,17122.82 ,17864.57 ,19123.98 p,20252.17 p,: 
A,MIO_PPS,TOT_HC,FR,210165.87 ,219139.86 ,224306.91 ,227461.57 ,232896.38 ,236163.56 ,238806.74 ,246775.76 ,257024.54 ,283488.19 ,292819.36 ,: 
A,MIO_PPS,TOT_HC,HR,: ,4298.41 ,4469.46 ,4693.07 ,4948.84 ,5126.26 ,5370.26 ,5648.10 ,5892.61 ,7117.73 ,7164.61 ,: 
A,MIO_PPS,TOT_HC,HU,13092.59 ,13221.07 ,13454.30 ,13634.20 ,13893.46 ,13776.05 ,14365.03 ,14487.76 ,16469.41 ,18116.06 ,18008.12 ,18006.87 p
A,MIO_PPS,TOT_HC,IE,14945.04 ,14545.62 ,14264.99 ,14839.65 ,15328.69 ,15852.97 ,16556.07 ,17223.98 ,18318.30 ,19586.85 ,21365.06 ,22784.56 p
A,MIO_PPS,TOT_HC,IS,819.37 ,836.07 ,868.69 ,911.45 ,940.52 ,1001.78 ,1049.45 ,1111.99 ,1194.28 ,1319.48 ,1431.60 ,1528.19 p
A,MIO_PPS,TOT_HC,IT,136630.12 ,134467.79 ,135071.37 ,137393.87 ,140525.01 ,143923.94 ,147322.54 ,151064.57 b,155870.54 ,166931.03 ,173769.31 ,177397.98 p
A,MIO_PPS,TOT_HC,LT,3500.00 ,3607.63 ,3822.61 ,4078.77 ,4259.73 ,4443.59 ,4683.30 ,5336.28 ,5653.02 ,6492.45 ,6564.81 ,6795.19 p
A,MIO_PPS,TOT_HC,LU,1755.06 b,1848.33 ,1915.95 ,1957.55 ,2009.23 ,2095.11 ,2243.96 ,2319.16 ,2402.49 ,2670.19 ,2818.71 ,3011.88 p
A,MIO_PPS,TOT_HC,LV,: ,1815.72 ,1876.69 ,2034.45 ,2238.75 ,2292.91 ,2501.39 ,2748.68 ,2971.10 ,3976.41 ,3623.99 ,: 
A,MIO_PPS,TOT_HC,MT,: ,: ,947.63 ,1048.13 ,1112.66 ,1204.29 ,1274.98 ,1490.37 ,1560.09 p,1758.28 p,1821.52 ,: 
A,MIO_PPS,TOT_HC,NL,59862.90 ,60704.30 ,60890.31 ,61129.99 ,61438.26 ,63381.53 ,65888.16 ,68200.58 ,73925.02 ,80033.72 ,80195.48 ,: 
A,MIO_PPS,TOT_HC,NO,19532.52 ,20444.00 ,21452.52 ,21763.18 ,21879.68 ,23167.48 ,24063.35 ,24584.59 ,25267.46 ,27167.34 ,29335.27 p,: 
