freq,unit,sector,cofog99,na_item,geo,2018 ,2019 ,2020 ,2021 ,2022 
A,MIO_EUR,S13,GF0703,TE,EL,6080.0 ,6334.0 ,6611.0 ,7072.0 ,7270.0 
A,MIO_EUR,S13,GF0703,TE,ES,29514.0 ,31171.0 ,36451.0 ,36589.0 ,38497.0 p
A,MIO_EUR,S13,GF0703,TE,EU27_2020,412057.4 ,427434.9 ,466678.3 ,493943.8 ,508908.4 
A,MIO_EUR,S13,GF0703,TE,FI,7235.0 ,7491.0 ,7787.0 ,8239.0 ,8509.0 
A,MIO_EUR,S13,GF0703,TE,FR,79989.0 ,81682.0 ,85733.0 ,92998.0 p,98451.0 p
A,MIO_EUR,S13,GF0703,TE,HR,2023.0 ,2239.9 ,2467.5 ,2740.9 ,2927.1 
A,MIO_EUR,S13,GF0703,TE,HU,2860.6 ,2867.2 ,4841.5 ,3423.9 ,3085.6 
A,MIO_EUR,S13,GF0703,TE,IE,5948.1 ,6479.3 ,7841.9 ,8922.2 ,9839.1 
A,MIO_EUR,S13,GF0703,TE,IS,1165.5 ,1157.9 ,1092.2 ,1283.4 ,1555.8 
A,MIO_EUR,S13,GF0703,TE,IT,49821.0 ,50274.0 ,52818.0 ,54712.0 ,56279.0 
A,MIO_EUR,S13,GF0703,TE,LT,983.9 ,1104.8 ,1266.5 ,1536.1 ,1557.1 
A,MIO_EUR,S13,GF0703,TE,LU,1228.9 ,1295.5 ,1444.8 ,1565.5 ,1585.6 
A,MIO_EUR,S13,GF0703,TE,LV,643.9 ,722.4 ,776.9 ,1047.4 ,1115.0 
A,MIO_EUR,S13,GF0703,TE,MT,424.8 ,483.6 ,549.7 ,559.1 ,563.2 
A,MIO_EUR,S13,GF0703,TE,NL,25983.0 ,27594.0 ,31243.0 ,33215.0 ,31969.0 
A,MIO_EUR,S13,GF0703,TE,NO,17828.6 ,18718.8 ,18019.0 ,20277.4 ,21936.0 
A,MIO_EUR,S13,GF0703,TE,PL,15117.0 ,16619.7 ,17996.8 ,20372.6 ,21547.8 
A,MIO_EUR,S13,GF0703,TE,PT,7115.6 ,7623.8 ,8560.2 ,9122.0 ,9585.2 p
A,MIO_EUR,S13,GF0703,TE,RO,5466.7 ,6394.2 ,6878.3 ,7401.4 ,7862.0 
