freq,unit,sex,age,icd10,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,RT,F,TOTAL,A-R_V-Y,EL52	: 	858.69 	844.45 	869.45 	830.97 	845.65 	820.34 	834.58 	908.17 	981.7 
A,RT,F,TOTAL,A-R_V-Y,EL53	: 	855.07 	790.64 	839.23 	767.81 	776.34 	725.96 	789.42 	856.38 	871.51 
A,RT,F,TOTAL,A-R_V-Y,EL54	: 	723.26 	666.89 	725.59 	671.92 	675.78 	670.58 	658.61 	659.32 	712.68 
A,RT,F,TOTAL,A-R_V-Y,EL6	: 	796.85 	792.54 	837.54 	792.09 	816.94 	787.25 	809.84 	808.02 	874.56 
A,RT,F,TOTAL,A-R_V-Y,EL61	: 	798.22 	789.06 	810.94 	791.2 	780.17 	749.26 	762.27 	826.22 	915.49 
A,RT,F,TOTAL,A-R_V-Y,EL62	: 	840.32 	846.79 	988.84 	873.36 	944.73 	911.84 	936.42 	898.17 	893.87 
A,RT,F,TOTAL,A-R_V-Y,EL63	: 	816.95 	792.8 	859.15 	820.76 	837.89 	826.86 	857.67 	845.49 	886.22 
A,RT,F,TOTAL,A-R_V-Y,EL64	: 	773.5 	782.48 	788.27 	772.9 	807.45 	774.99 	804.28 	748.17 	849.3 
A,RT,F,TOTAL,A-R_V-Y,EL65	: 	779.99 	785.23 	840.9 	757.71 	810.38 	775.3 	791.01 	785.01 	828.99 
A,RT,F,TOTAL,A-R_V-Y,ES	702.85 	663.2 	656.46 	686.92 	648.4 	658.51 	648 	619.3 	721.26 	643.49 
A,RT,F,TOTAL,A-R_V-Y,ES1	685.91 	657.33 	640.68 	667.64 	646.56 	641.79 	644.09 	612.88 	643.96 	612.03 
A,RT,F,TOTAL,A-R_V-Y,ES11	679.26 	654.48 	624.65 	654.92 	637.59 	634.1 	636.25 	599.35 	615.41 	596.6 
A,RT,F,TOTAL,A-R_V-Y,ES12	712.06 	677.97 	678.59 	703.06 	680.93 	672.62 	675.51 	648.29 	715.01 	667.59 
A,RT,F,TOTAL,A-R_V-Y,ES13	664.08 	627.14 	646.94 	657.05 	622.91 	616.3 	619.58 	606.42 	648.56 	581.78 
A,RT,F,TOTAL,A-R_V-Y,ES2	652.21 	612.27 	622.22 	639.08 	599.98 	611.19 	607.14 	580.44 	670.83 	600.18 
A,RT,F,TOTAL,A-R_V-Y,ES21	646.73 	604.52 	613.99 	636.46 	603.61 	605.63 	601.95 	577.92 	637.92 	596.25 
A,RT,F,TOTAL,A-R_V-Y,ES22	605.79 	592.01 	605.31 	611.29 	594.76 	596.87 	586.79 	566.91 	654.38 	548.82 
A,RT,F,TOTAL,A-R_V-Y,ES23	642.29 	610.27 	589.88 	624.07 	590.48 	599.04 	603.2 	588.17 	685.71 	623.81 
A,RT,F,TOTAL,A-R_V-Y,ES24	684.09 	633.92 	649.65 	658.85 	599.72 	629.43 	626.11 	590 	730.47 	624.37 
A,RT,F,TOTAL,A-R_V-Y,ES3	607.51 	573.56 	570.46 	601.27 	557.85 	569.89 	547.67 	539.28 	730.33 	535.19 
A,RT,F,TOTAL,A-R_V-Y,ES30	607.51 	573.56 	570.46 	601.27 	557.85 	569.89 	547.67 	539.28 	730.33 	535.19 
A,RT,F,TOTAL,A-R_V-Y,ES4	669.83 	635.83 	622.18 	656.26 	622.69 	636.35 	630.84 	604.07 	753.78 	613.38 
A,RT,F,TOTAL,A-R_V-Y,ES41	616.4 	593.75 	585.8 	609.31 	580.42 	583.97 	595.63 	560.04 	695.23 	556.11 
A,RT,F,TOTAL,A-R_V-Y,ES42	711.07 	655.63 	644 	693.04 	646.39 	679.95 	652.76 	640.64 	833.66 	647.99 
A,RT,F,TOTAL,A-R_V-Y,ES43	757.98 	728.59 	696.26 	731.39 	705.96 	718.43 	700 	672.55 	779.93 	719.91 
A,RT,F,TOTAL,A-R_V-Y,ES5	713.56 	669.59 	665.22 	688.29 	650.39 	664.46 	663.42 	621.7 	718.93 	653.09 
A,RT,F,TOTAL,A-R_V-Y,ES51	686.37 	641.63 	634.72 	659.29 	622.14 	635.04 	633.59 	598.52 	732.69 	620.14 
A,RT,F,TOTAL,A-R_V-Y,ES52	751.9 	708.35 	710.23 	731.54 	690.33 	707.85 	711.44 	656.85 	710.04 	708.36 
A,RT,F,TOTAL,A-R_V-Y,ES53	754.13 	704.26 	691.61 	714.1 	681.93 	685.77 	662.06 	628.27 	642.74 	639.01 
A,RT,F,TOTAL,A-R_V-Y,ES6	813.75 	764.99 	752.67 	803.16 	752.33 	765.24 	765.22 	723.95 	783.38 	778.07 
A,RT,F,TOTAL,A-R_V-Y,ES61	817.71 	769.37 	755.9 	807.92 	756.7 	768 	771.55 	723.04 	787.46 	781.03 
